last_name,first_name,patronymic,birth_date,region,passport_series,passport_number,passport_date,vehicle_number,cadastral_number,property_type
Иванов,Иван,Иванович,15.05.85,Москва,,,,,,
Петров,Петр,Петрович,20.10.90,Санкт-Петербург,4500,123456,10.03.15,,,
Сидоров,Сидор,Сидорович,,,,,,А123ВС77,,
Смирнова,Анна,Сергеевна,,,,,,,77:01:0001001:1234,land
Кузнецов,Дмитрий,Алексеевич,01.12.88,Екатеринбург,4501,654321,15.06.16,В123МН96,66:01:0002002:5678,building
Попов,Андрей,Викторович,22.03.79,Новосибирск,4502,789012,05.09.10,,,
Соколова,Елена,Игоревна,,,,,,К456ХХ178,78:02:0003003:9012,premises
Лебедев,Максим,,,,4503,345678,,,,
Николаева,Ольга,,,,,,,,50:03:0004004:1122,land
Тестов,Тест,,,,,,,,,
